,instruction,Category
17932,could you tell me more about opening platinum accounts?,Login and Account
17933,I do not know how I can see the termination fee,Cancellations and returns
17934,I do not know how to contact customer service,Warranty
17935,I'm calling to lodge a compaint,Shopping
17936,I want assistance setting up my shipping address,Shipping
17937,assistance to see in what cases can I request refunds,Cancellations and returns
17938,problems with creating my pro account,Login and Account
17939,I'm trying to see at what time i can call customer support,Warranty
17940,find information about the methods for shipment,Shipping
17941,would it be possible to lolok for my bill #12588,Shipping
17942,hw can I notify of errors with a signup?,Login and Account
17943,i do not know what i need to do to get retsitutions of money,Cancellations and returns
17944,can you help me receive goddamn compensations of money?,Cancellations and returns
17945,what do I need to do to delete a goddamn gold account?,Login and Account
17946,I want help to check the accepted payment modalities,Order
17947,"I would like to correct the damn delivery address, help me",Shipping
17948,I donot know how to check order {{Order Number}} status,Order
17949,"I have entered a wrong address, could I correct it?",Shipping
17950,problems with pro account terminations,Login and Account
17951,I am waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
17952,I'd like to modify the details on my user how can i do it,Login and Account
17953,need assistance canceling order {{Order Number}},Order
17954,"I need to check your reimbursement policy, can you help me?",Cancellations and returns
17955,correct information on Goldaccount,Login and Account
17956,I do not know how I could receive the corporate newsletter,Login and Account
17957,i want assistrance to use the {{Account Type}} account,Login and Account
17958,uhave a method to submit feedback for ur services,Shopping
17959,i want assistance solving a problem with online payments,Order
17960,leave review for a service,Shopping
17961,assistance to make a customer claim,Shopping
17962,need assistance to see the withdrawal fee,Cancellations and returns
17963,I try to see at what time customer support available is,Warranty
17964,i have got to buy some prodcuts,Order
17965,i need help to give a quick look at my bills from {{Person Name}},Shipping
17966,i do not know how to check bill #12588,Shipping
17967,how to edit order {{Order Number}}?,Order
17968,I don't know what I have to do to remove my platinum account,Login and Account
17969,how can i close my freemium account,Login and Account
17970,how do I see my bill from {{Person Name}}?,Shipping
17971,i do not know how to create a {{Account Category}} account for my dad,Login and Account
17972,I can no longer pay for purchase {{Order Number}},Order
17973,I ened help reporting problems with payment,Order
17974,I want assistance informing of a payment issue,Order
17975,wanna set my secondary delivery address up,Shipping
17976,tell me about cancel the subscription to the newsletter,Login and Account
17977,wanna check how long reimbursenents take how to do it,Cancellations and returns
17978,i want help talkingh to a live agent,Warranty
17979,talking to live agent,Warranty
17980,help me to check the current status of the compensation,Cancellations and returns
17981,I want assistance purcahsing a few of your item,Order
17982,help to see if there is anything new on the damn refund,Cancellations and returns
17983,I need assistance contacting somebody,Warranty
17984,change information on {{Account Category}} account,Login and Account
17985,help me using the {{Account Type}} account,Login and Account
17986,I do not know how to submit some feedback,Shopping
17987,what do I need to do to check the withdrawal fee?,Cancellations and returns
17988,can ya help me talk to customer assistance,Warranty
17989,tell me more about unsubscribing frmo ur company newsletter,Login and Account
17990,I do not know how to list your allowed payment methods,Order
17991,check status of order {{Order Number}},Order
17992,can you help me seeing in what cases can I request refunds?,Cancellations and returns
17993,need assistance unsubscrbiing from the corporate newsletter,Login and Account
17994,i want help to cancel order {{Order Number}},Order
17995,I want assistance to cancel purchase {{Order Number}},Order
17996,i do not know how to change a product of order {{Order Number}},Order
17997,how long until I get a compensation of money?,Cancellations and returns
17998,were to see at what time I can contact customer service?,Warranty
17999,edit details oon gold account,Login and Account
18000,I need assistance to check the status of my restitution,Cancellations and returns
18001,do you have a mail to get in touch with cusomer assistance?,Warranty
18002,I don't know how I can notify of a problem with payments,Order
18003,i cannot create a freemium account for my dad,Login and Account
18004,updating premium account,Login and Account
18005,I don't know how I can cntact someone,Warranty
18006,I am calling to see what delivery methods you offer,Shipping
18007,I want help subscribing to your corporate newsletter,Login and Account
18008,i dont know what to do to delete my platinum account,Login and Account
18009,I do not know how to check your payment methods,Order
18010,need help to notify of problems with signup,Login and Account
18011,how can I switch to the {{Account Type}} account?,Login and Account
18012,check whatr hours I can call customer support,Warranty
18013,I want assistance to submit another shipping address,Shipping
18014,information about editing purchase {{Order Number}},Order
18015,I have got to reset the PIN of my user,Login and Account
18016,I'm waiting for a rebateof {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
18017,need help filing a customer claim against ur company,Shopping
18018,could you help me setting up my new delivery address?,Shipping
18019,would it be possible to swap an article of order {{Order Number}}?,Order
18020,assistance to see the ETA of the purchase {{Order Number}},Order
18021,where can I make a claim against your company?,Shopping
18022,I want help seeing in what cases can I ask to be refunded,Cancellations and returns
18023,cancelling {{Account Type}} account,Login and Account
18024,comment for your services,Shopping
18025,"I paid {{Currency Symbol}}{{Refund Amount}} for a product, is it possible to get a refund?",Cancellations and returns
18026,i do not know how i can talk to a human agent,Warranty
18027,I don't know how I can change to the gold account,Login and Account
18028,"I need to see how long reimbursements take, how do I do it?",Cancellations and returns
18029,help canceling my company fucking newsletter subscription,Login and Account
18030,I'm trying to see the early exit charge,Cancellations and returns
18031,I don't know how to retrieve my user password,Login and Account
18032,assistance to submit feedback about a service,Shopping
18033,can i retrieve my prfile pin code,Login and Account
18034,can i check in which cases can i request reimbursements,Cancellations and returns
18035,"I have to see the payment modalities, can you help me?",Order
18036,i need help to switch to the standard account,Login and Account
18037,change to the {{Account Category}} account,Login and Account
18038,hhow to get the invoices from {{Person Name}}?,Shipping
18039,where can I cancel purchase {{Order Number}}?,Order
18040,i do not know what i have to do to earn some of ur article,Order
18041,can ya tell me about updating the delivery address,Shipping
18042,I have to see how long it takes for my product to arrive,Shipping
18043,problem with {{Account Type}} account deletions,Login and Account
18044,i dont know how to open a gold account,Login and Account
18045,"I need to see how soon can I expect my item, how to do it?",Shipping
18046,where to notify of problems with sign-up?,Login and Account
18047,get invoices from {{Person Name}},Shipping
18048,where do I lodge a complaint against your company?,Shopping
18049,tell me what hours customer support available is,Warranty
18050,have problems with creating my standard account,Login and Account
18051,help me to make a complaint against your organizaton,Shopping
18052,do ya have an e-mail to send a review for a service,Shopping
18053,where do i make a complaint,Shopping
18054,want help demanding a rebate of my money,Cancellations and returns
18055,what do i have to do to list ur allowed payment options,Order
18056,modify information on {{Account Type}} acfount,Login and Account
18057,I need assistance to cancel purchase {{Order Number}},Order
18058,"I need to modify the data on my profile, could you help me?",Login and Account
18059,"I want to set up a secondary delivery address, how to do it?",Shipping
18060,I do not know what to do to download the bill #00108,Shipping
18061,shopping article,Order
18062,want assistance deleting some items from order {{Order Number}},Order
18063,I do not know how to see the early exit penalty,Cancellations and returns
18064,check bill from {{Person Name}},Shipping
18065,i do not know what i have to do to get my money back,Cancellations and returns
18066,can you hsow me how long it takes for the article to arrive?,Shipping
18067,can you help me receiving the company newsletter?,Login and Account
18068,i need assistance informing of problems with online payment,Order
18069,I do not know what I need to do to close my {{Account Type}} account,Login and Account
18070,i do not know what i have to do to see the early exit fees,Cancellations and returns
18071,I want assistance entering my delivery address,Shipping
18072,can ya help me cancel purchzse {{Order Number}},Order
18073,I'm trying to inform of problems with online payments,Order
18074,modifying premium account,Login and Account
18075,give me information about my subscription to your newsletter,Login and Account
18076,can uhelp melocate order {{Order Number}},Order
18077,I'm waiting for a rebateof {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
18078,want help to make a claim against ur company,Shopping
18079,I don't know how I can list the allowed payment methods,Order
18080,"I have got to enter a delivery address, can you help me?",Shipping
18081,inform of a problem with sign-up,Login and Account
18082,I want to modify the delivery address,Shipping
18083,where  do i check the withdrawal penalties,Cancellations and returns
18084,can i pay witj visa,Order
18085,"I need to chat with an agent, can you help me?",Warranty
18086,I have got to make a customer reclamation,Shopping
18087,I need assistance reporting an issue with bloody signup,Login and Account
18088,I don't know what I need to do to speak to customer service,Warranty
18089,help checking what hours I can call customer assistance,Warranty
18090,update data on {{Account Type}} account,Login and Account
18091,cancelling {{Account Category}} account,Login and Account
18092,problem with payments,Order
18093,I do not know what I have to do to file a consumer complaint,Shopping
18094,can ya help me speak wih customer assistance,Warranty
18095,how can i get information about pro account cancellations,Login and Account
18096,I need information about the deletion of my {{Account Type}} account,Login and Account
18097,need help requesting reimbursements of my money,Cancellations and returns
18098,where could I submit my shipping address?,Shipping
18099,see the early exit fees,Cancellations and returns
18100,updating info on freemium account,Login and Account
18101,I need assistance to set my secondary delivery address up,Shipping
18102,what do I need to do to demand my money back?,Cancellations and returns
18103,see the withdrawal penalties,Cancellations and returns
18104,I have to report problems with online payment,Order
18105,want assistance to report a trouble with online payments,Order
18106,where can I set a delivery address up?,Shipping
18107,where do I cancel purchase {{Order Number}}?,Order
18108,help receiving reinbursements of my money,Cancellations and returns
18109,need assistance acquiring an item,Order
18110,can uhlep me use the {{Account Type}} account,Login and Account
18111,I want assistance checking purchase {{Order Number}} status,Order
18112,can I add a damn item to purchase {{Order Number}}?,Order
18113,I want help changing an article of purchase {{Order Number}},Order
18114,I would like to request a damn refund of money,Cancellations and returns
18115,i dont know what i have to do to check invoice #37777,Shipping
18116,can I close a {{Account Type}} account?,Login and Account
18117,assistance giving a quick look at my bill from {{Person Name}},Shipping
18118,help checking how soon can I expect the product,Shipping
18119,I do not know how I can check your allowed payment options,Order
18120,help me receive your corporate newsletter,Login and Account
18121,troubles entering a fucking secondary delivery address,Shipping
18122,I have a problem with canceling purchase {{Order Number}},Order
18123,updating freemium accojnt,Login and Account
18124,open a {{Account Type}} acount for my dad,Login and Account
18125,there are problems trying to correct the address,Shipping
18126,"I would like to downloasd bill #00108, can you help me?",Shipping
18127,editing data on premium acocunt,Login and Account
18128,i dont know what i need to do to create a premium account,Login and Account
18129,want assistance to update my shipping address,Shipping
18130,"I need to edit order {{Order Number}}, could I get some help?",Order
18131,how can I switch an item of order {{Order Number}}?,Order
18132,how can i edit tne address,Shipping
18133,get invoices from {{Person Name}},Shipping
18134,can I change to the {{Account Type}} account?,Login and Account
18135,can uhelp me cancelling purchase {{Order Number}},Order
18136,"I would like to speak with an assistant, how do I do it?",Warranty
18137,"I have to inform of errors with payment, I need assistance",Order
18138,i need helo checking ur allowed payment methods,Order
18139,is it possible to change to the {{Account Type}} account?,Login and Account
18140,shop several products,Order
18141,where do I see what hours I can contact customer service?,Warranty
18142,where to report an error with payments?,Order
18143,can i look for bill #37777,Shipping
18144,i have a question about the removal of my {{Account Category}} account,Login and Account
18145,"I have got to see how long refunds take, I need help",Cancellations and returns
18146,I do not know hgow to remove the standard account,Login and Account
18147,how do i demand a compensation of money,Cancellations and returns
18148,help to get my money back,Cancellations and returns
18149,cancelling order,Order
18150,reimburse {{Refund Amount}} dollars,Cancellations and returns
18151,I mised a product in purchase {{Order Number}},Order
18152,I do not know how I can cancel a platinum account,Login and Account
18153,help me check your available payment methods,Order
18154,open platinum account for wife,Login and Account
18155,i have got to check what shipment options are available,Shipping
18156,wanty assistance checking my goddamn bill from {{Person Name}},Shipping
18157,I want  a {{Account Category}} account,Login and Account
18158,wqhere can i order some of ur article,Order
18159,can you help me to sign up to the company newsletter?,Login and Account
18160,I don't know how to see the early exit charges,Cancellations and returns
18161,i have got to check the terminatiln penalties how to do it,Cancellations and returns
18162,how can i see if there are any news on my rebate,Cancellations and returns
18163,there are troubles modifying my shipping address,Shipping
18164,i bought some damn item help to cancep order {{Order Number}},Order
18165,I don't  know how I can find the invoices from {{Person Name}},Shipping
18166,is it possible to see ur payment modalities,Order
18167,I am waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
18168,can i update the information included on my user profile,Login and Account
18169,why I can't set up a secondary delivery address valid,Shipping
18170,I'm waiting for a rebate of {{Refund Amount}} dollars,Cancellations and returns
18171,i have lost the invoice #00108 could umail it to me,Shipping
18172,cdan uhelp me using the platinum account,Login and Account
18173,getting invoice from {{Person Name}},Shipping
18174,need to see when will my parcel arrive,Shipping
18175,can uhelp me see what hours i can call customer service,Warranty
18176,"I can't understand you, I need to speak with a live agent",Warranty
18177,help with cancelling purchase {{Order Number}},Order
18178,i try to sap some items of order {{Order Number}},Order
18179,"I have lost bill #37777, could you send it to me?",Shipping
18180,updating details on gold account,Login and Account
18181,I do not know how I can check when will my package arrive,Shipping
18182,how do i receive the corporate newsletter,Login and Account
18183,"I have to leave a comment, I need assistance",Shopping
18184,i want assistance canceling order {{Order Number}},Order
18185,I want help to obtain a reimbursement,Cancellations and returns
18186,wanna look for bill #85632,Shipping
18187,correct info on {{Account Category}} account,Login and Account
18188,I want assistance to check your allowed payment modalities,Order
18189,"I need a different bloody {{Account Type}} account, can you create it?",Login and Account
18190,want help to see how soon can i expect the purchase,Shipping
18191,i do not know how to check bill #00108,Shipping
18192,I need help with cancelling order {{Order Number}},Order
18193,"I have to see my bill, help me",Shipping
18194,what do i hgave to do to shop some of ur item,Order
18195,getting invoices from last month,Shipping
18196,i want help to contact customer assistance,Warranty
18197,want assistance to write an opinion,Shopping
18198,needassistance cancelling purchase {{Order Number}},Order
18199,help me swapping something of order {{Order Number}},Order
18200,I don't know how I could request my money back,Cancellations and returns
18201,how to ask for a restitution of my money,Cancellations and returns
18202,"I want to report a problem with a sign-up, how do I do it?",Login and Account
18203,do uhave an e-mail to leave some feedback about a product,Shopping
18204,help me checking how long it takes for the order to arrive,Shipping
18205,I'm trying to notify of problems with payments,Order
18206,help me inform of a sign-up problem,Login and Account
18207,I do not know how I can see the early termination penalty,Cancellations and returns
18208,support submitting the deoivery address,Shipping
18209,I expect a rebate of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
18210,"I have to see my refund current status, will you help me?",Cancellations and returns
18211,"I don't make use of my {{Account Type}} account, help to delete it",Login and Account
18212,I do not know how I can create a {{Account Type}} account,Login and Account
18213,can I see in what situations can I request to be reimbursed?,Cancellations and returns
18214,can I see in what cases can I ask for a reimbursement?,Cancellations and returns
18215,I don't know what I have to do to sign up to the newsletter,Login and Account
18216,can you tell me more about changing my address?,Shipping
18217,need to change something of order {{Order Number}},Order
18218,i need information about {{Account Category}} account cancellations,Login and Account
18219,check the accepted payment modalities,Order
18220,I need help to write a review for a product,Shopping
18221,i do not know what to do to check the restitution status,Cancellations and returns
18222,I do not know what to do to check my bill from {{Person Name}},Shipping
18223,where do i open a gold account for my fiance,Login and Account
18224,how too recover the key of my user account,Login and Account
18225,I cannot pay for purchase {{Order Number}},Order
18226,"I lost my user PIN, what do I have to do to reset it?",Login and Account
18227,problem with {{Account Type}} account cancellations,Login and Account
18228,I want assistance cancelling order {{Order Number}},Order
18229,help me to check if there are nay news on the refund,Cancellations and returns
18230,i have an issue trying to update my shipping address,Shipping
18231,I have a problem with opening my premium account,Login and Account
18232,i have made a mistake i wanna edit order {{Order Number}},Order
18233,help to talk with a person,Warranty
18234,tell me about canceling the subscription to ur newsletter,Login and Account
18235,how can i see the status of purchase {{Order Number}},Order
18236,help me to use the {{Account Category}} profile,Login and Account
18237,can you help me to unsubscribe to the corporate newsletter?,Login and Account
18238,updating information on {{Account Type}} account,Login and Account
18239,help solving issues with online payments,Order
18240,want help tyo modify my shipping address,Shipping
18241,I want help speaking with an operator,Warranty
18242,where can i locate my invoices from {{Person Name}},Shipping
18243,i need help to chat withh somebody,Warranty
18244,report registration problem,Login and Account
18245,I expect a refund of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
18246,how to use the platinum profile?,Login and Account
18247,create standard cacount,Login and Account
18248,what do i need to od to download my invoice #37777,Shipping
18249,assistance listing your available payment methods,Order
18250,I need assistance to chat with an operator,Warranty
18251,"I need to see your available payment methods, how to do it?",Order
18252,I want to make a consumer claim,Shopping
18253,i have to inform of errorfs with a signup,Login and Account
18254,"I lost my bill from {{Person Name}}, can you show them to me?",Shipping
18255,need assistance to submit my feedback for your services,Shopping
18256,in which situations can I ask for reimbursements?,Cancellations and returns
18257,i expect a reimbursement of {{Refund Amount}} dollars,Cancellations and returns
18258,I need help to sign up to your newsletter,Login and Account
18259,I need help to leave a goddamn opinion about a product,Shopping
18260,I need assistance to receive your corporate newsletter,Login and Account
18261,"I can't afford order {{Order Number}}, help me cancelling it",Order
18262,how to see what options for delivery you offer?,Shipping
18263,I do not know what I need to do to report payment problems,Order
18264,I do not know what to do to submit a bloody delivery address,Shipping
18265,what do i need to do to restore my user profile access  key,Login and Account
18266,I have got to see in what cases can I ask for a refund,Cancellations and returns
18267,can ya help me cancel a {{Account Type}} cacount,Login and Account
18268,editing gold account,Login and Account
18269,I want help notifying of a error with a signup,Login and Account
18270,help using the {{Account Category}} profile,Login and Account
18271,I have a problem with the deletion of my {{Account Category}} account,Login and Account
18272,see at what time I can contact customer service,Warranty
18273,I need help to set a secondary shipping address up,Shipping
18274,I need assistance to see the withdrawal fees,Cancellations and returns
18275,update data on platinum account,Login and Account
18276,cancel {{Account Category}} account,Login and Account
18277,i have got to check the cvancellation penalty how to do it,Cancellations and returns
18278,what are the penalties for breaking the contract ?,Cancellations and returns
18279,I don't know how to delete my {{Account Category}} account,Login and Account
18280,is it possible to order from {{Delivery City}}?,Shipping
18281,I no longer want purchase {{Order Number}},Order
18282,"I want to see the methods for delivery, can you help me?",Shipping
18283,can uhelp me download the invoice from {{Person Name}},Shipping
18284,i need assistance to delete a product from order {{Order Number}},Order
18285,I need to switch an article of order {{Order Number}},Order
18286,i have an problem with the pass recovery,Login and Account
18287,where can I make a customer claim?,Shopping
18288,i want information about the deletion of my gold accounnt,Login and Account
18289,I have problems with the options for shipment,Shipping
18290,"I need to send some feedback for a service, how to do it?",Shopping
18291,assistance to order some  of ur item,Order
18292,i need assistance to notify of issues wih payment,Order
18293,why I cannot set up the shipping address valid,Shipping
18294,I need help to ask for restitutions of my mone,Cancellations and returns
18295,i need help informing of registration errors,Login and Account
18296,help to remove several articles from purchase {{Order Number}},Order
18297,i dont know what to do to cancel purchase {{Order Number}},Order
18298,how can I see the accepted payment options?,Order
18299,want help seeing how soon can I expetc my article,Shipping
18300,I need to see the goddamn cancellation fee,Cancellations and returns
18301,want assistance to see the shipping options,Shipping
18302,problem with {{Account Type}} acconut removals,Login and Account
18303,where do i cherck at what time i can call customer service,Warranty
18304,where do I check what hours I can reach customer support?,Warranty
18305,"I want to write a review about your products, how to do it?",Shopping
18306,help me informing of a problem with signup,Login and Account
18307,trouble setting the shipping address up,Shipping
18308,I want supports trying to update my delivery address,Shipping
18309,see invoicefrom {{Person Name}},Shipping
18310,"I would like to do a purchase, can you help me?",Order
18311,modiby data on {{Account Type}} account,Login and Account
18312,need assistance to take a quick look at the bill #12588,Shipping
18313,"I want to speak with damn customer support, help me",Warranty
18314,could you help me write a review for your services?,Shopping
18315,could you tell me more about changing my delivery address?,Shipping
18316,how can i see what hours customer service available is,Warranty
18317,can I restore my access key?,Login and Account
18318,assistance reporting issues with sign-up,Login and Account
18319,cancel purchase  {{Order Number}},Order
18320,how do I talk to a human agent?,Warranty
18321,i want help cancelling purchase {{Order Number}},Order
18322,need help lodging a reclamation against ur business,Shopping
18323,"the experience with you was awful, help me file a complaint",Shopping
18324,wanna find invoice #37777,Shipping
18325,assistance signing up to the company newsletter,Login and Account
18326,lodge reclamation,Shopping
18327,help me seeing at what time I can contact customer support,Warranty
18328,i have to retrieve the key of my user how do i do it,Login and Account
18329,do you have an e-mail to leave my feedback?,Shopping
18330,I don't know how I can speak with a goddamn person,Warranty
18331,edit purchase {{Order Number}},Order
18332,termination fee,Cancellations and returns
18333,help me sending my feedback for ur products,Shopping
18334,want assistance shopping a product,Order
18335,I try to retrieve the PIN code of my account,Login and Account
18336,need help oirdering several items,Order
18337,"I have got to set a shipping address up, how can I do it?",Shipping
18338,i do not know what to do to notify of a sign-up issue,Login and Account
18339,I have to see in which cases can I request a refund,Cancellations and returns
18340,delete user,Login and Account
18341,I am calling to leave a comment about your compnay,Shopping
18342,assistance to report an error with a registration,Login and Account
18343,what do i need to do to send some feedback,Shopping
18344,I want asistance to acquire a product,Order
18345,see in what cases can I ask for a refund,Cancellations and returns
18346,updating details on standard account,Login and Account
18347,how do I get restitutions of money?,Cancellations and returns
18348,i do ont know how to send fucking feedback for a service,Shopping
18349,i want help to cancel order {{Order Number}},Order
18350,where to see the methods for shipment?,Shipping
18351,I don't know how I can locate purchase {{Order Number}},Order
18352,need assistance to write a review about ur copany,Shopping
18353,i do not know what i need to do to report errors with signup,Login and Account
18354,I need assistance to talk with damn customer service,Warranty
18355,I want help to list the available payment options,Order
18356,need help  seeing how long the shipment takes,Shipping
18357,updating info on pro account,Login and Account
18358,purchase {{Order Number}} current status,Order
18359,using {{Account Category}} account,Login and Account
18360,editing gold  account,Login and Account
18361,help  with cancelling order {{Order Number}},Order
18362,I don't know what to do to file a consumer claim,Shopping
18363,I'd like to unsubscribe from the newsletter i need help,Login and Account
18364,I'd like to talk to an operatro,Warranty
18365,is there an e-mail to submit an opinion for your services?,Shopping
18366,i have a question about cancelling order {{Order Number}},Order
18367,i cannot pay help me to report issues with payment,Order
18368,I want assistance reporting a problem with sign-up,Login and Account
18369,create {{Account Type}} accountfor wife,Login and Account
18370,how could I cancel purchase {{Order Number}}?,Order
18371,could you help me obtain rebates of money?,Cancellations and returns
18372,I have to inform of na issue with signup,Login and Account
18373,i have to earn several proucts help me,Order
18374,are there early exit fees?,Cancellations and returns
18375,need help obtaining  damn rebates of my money,Cancellations and returns
18376,need to see the shipment options help me,Shipping
18377,how can i locate invoice #12588,Shipping
18378,need help seeing what hours i can contact customer service,Warranty
18379,I want to inform of problems with signup,Login and Account
18380,check at what time i can reach ucstomer service,Warranty
18381,i dont know what i have to do to talk to an assistant,Warranty
18382,i paid {{Currency Symbol}}{{Refund Amount}} for this purchase i try to receive a rebate,Cancellations and returns
18383,I want to check the ETA of purchase {{Order Number}},Order
18384,what do i need to do to reset my user cacount pwd,Login and Account
18385,I need to create a standard account,Login and Account
18386,i want supports changing my address,Shipping
18387,help me to notify of a trouble with payments,Order
18388,help me to receive the bloody newsletter,Login and Account
18389,i need help to leave some feedback about ur services,Shopping
18390,problem with my PIN reset,Login and Account
18391,can uhelp me to talk to an assistat,Warranty
18392,"I never use my {{Account Type}} account, I don't know how I can close it",Login and Account
18393,transfering to person,Warranty
18394,assistance to see if there are any news on the compensation,Cancellations and returns
18395,where can I change to the freemium account?,Login and Account
18396,i want help ordering an article,Order
18397,how to use the standard account,Login and Account
18398,where to see whne will my product arrive,Shipping
18399,wht I cannot submit my new shipping address valid,Shipping
18400,i do not know how to recover the pin code of my user profile,Login and Account
18401,issue submitting a secondary shipping address,Shipping
18402,I have tl see how soon can I expect my shipment,Shipping
18403,talk to person,Warranty
18404,modify info on {{Account Type}} account,Login and Account
18405,where do I check what payment options you accept?,Order
18406,can you help me checking the bloody cancellation penalty?,Cancellations and returns
18407,I am calling to write a review about a service,Shopping
18408,what fucking hours can I call customer support?,Warranty
18409,I am waiting for a reimbursement of {{Refund Amount}} dollras,Cancellations and returns
18410,I'm trying to set up my shipping address,Shipping
18411,what do I have to do to cancel order {{Order Number}}?,Order
18412,edit info on {{Account Category}} account,Login and Account
18413,would it be possible to inform of errors with sign-up?,Login and Account
18414,updating order {{Order Number}},Order
18415,where can i enter a secondary shipping adcress,Shipping
18416,need to sign up to the corporate newsletter how can i do it,Login and Account
18417,"I would like to locate my bill #12588, can you help me?",Shipping
18418,canyou help me reset the access key of my user account?,Login and Account
18419,can I change to the standard account?,Login and Account
18420,help speaking with a human agent,Warranty
18421,"my card did not work, assistance reporting payment problems",Order
18422,"I have to see the ETA of the order {{Order Number}}, help me",Order
18423,I have to check the ETA of the order {{Order Number}},Order
18424,I have to check how long it takes for my delivery to arrive,Shipping
18425,where do I get reimbursements of my money?,Cancellations and returns
18426,i want assistance to cancel order {{Order Number}},Order
18427,can I check the available payment options ?,Order
18428,need help to see in which cases can I request my money bac,Cancellations and returns
18429,"I don't have a bloody user, could you help me to open one?",Login and Account
18430,I need help cancelling order {{Order Number}},Order
18431,I need help checking your available payment methods,Order
18432,what do i have to do to report a bloody issue with payments,Order
18433,how can I inform of a trouble with payhments?,Order
18434,opdn platinum account,Login and Account
18435,how could I see the shipment options?,Shipping
18436,"I have paid {{Currency Symbol}}{{Refund Amount}} for this item, help me to obtain a rebate",Cancellations and returns
18437,help me find my invoices from {{Person Name}},Shipping
18438,opening new {{Account Category}} account,Login and Account
18439,how do I inform of an issue with a signup?,Login and Account
18440,I want to send some feedback for a product,Shopping
18441,needc to talk to an assistant,Warranty
18442,I am trying to recover my user profile PIN,Login and Account
18443,I call to get the bills from {{Person Name}},Shipping
18444,I want to check what hours customer support available is,Warranty
18445,i do not know what to do to get the invoice #00108,Shipping
18446,I try to set up a shipping address,Shipping
18447,I need help to se how long the bloody reimbursements take,Cancellations and returns
18448,I need assistance seeing how long the goddamn refunds take,Cancellations and returns
18449,I have to file a customer claim against your business,Shopping
18450,help notifying of signup problems,Login and Account
18451,I don't know how to inhform of a problem with sign-up,Login and Account
18452,want assistance to leave feedback for ur products,Shopping
18453,I try to see the fucking restitution current status,Cancellations and returns
18454,customer complaint against your business,Shopping
18455,is it possible to place na order from {{Delivery Country}},Shipping
18456,i have to reset my user account pwd how cn i do it,Login and Account
18457,what do I have to do to get the bill #85632?,Shipping
18458,I need assistance to list the accepted payment methods,Order
18459,correct details onGold account,Login and Account
18460,i do not know how to inform of an error with payments,Order
18461,could I order from {{Delivery Country}}?,Shipping
18462,order {{Order Number}} current status,Order
18463,where can i create a {{Account Type}} account,Login and Account
18464,i expect a goddamn reimbursement of {{Refund Amount}} dollars,Cancellations and returns
18465,where could I acquire something?,Order
18466,help me lodge a customer claim against your business,Shopping
18467,"I have forgotten my user account key, help to restore it",Login and Account
18468,help me acquire some products,Order
18469,contact a live agent,Warranty
18470,look for my invoices from {{Person Name}},Shipping
18471,can you help me checking when will my product arrive?,Shipping
18472,i dont know what to do to cancel a freemium account,Login and Account
18473,I need assistance ordering some of your article,Order
18474,I have errors signing up,Login and Account
18475,need to noitify of problems with registrations,Login and Account
18476,i dont know what i have to do to check my invoice #37777,Shipping
18477,checking invoice from {{Person Name}},Shipping
18478,help me lodge a consumer complaint against your busness,Shopping
18479,do you have a method to submit a review for your products?,Shopping
18480,need help checking the early termination fees,Cancellations and returns
18481,do you shp to {{Delivery City}}?,Shipping
18482,can uhelp me to inform of  issues with payments,Order
18483,can you help me to retrieve my user profile key?,Login and Account
18484,want assistance to report issues with payment,Order
18485,I need assistance getting in touch with customer support,Warranty
18486,I cannot see the current status of purchase {{Order Number}},Order
18487,assistance to request a reimbursement of my money,Cancellations and returns
18488,"I need to see the delivery methods, how to do it?",Shipping
18489,i do not know what to do to cdheck my bill #85632,Shipping
18490,can uhelp me to contact somebody,Warranty
18491,I try to list your payment methods,Order
18492,where can I get the bill #85632?,Shipping
18493,how to locate my bill #12588?,Shipping
18494,"I would like to earn several products, how could I do it?",Order
18495,I am waitig for a damn reimbursement of {{Refund Amount}} dollars,Cancellations and returns
18496,"I do not need my damn {{Account Category}} account, help to close it",Login and Account
18497,problem with my  forgotten pin,Login and Account
18498,I need to change order {{Order Number}},Order
18499,how can i ask for a rebate,Cancellations and returns
18500,help me inform of a problem with payment,Order
18501,want assistance solving troubles with online payment,Order
18502,I want to make a customer claim,Shopping
18503,changing to pro account,Login and Account
18504,i want my rebate of money,Cancellations and returns
18505,show me ur reimbursement policy,Cancellations and returns
18506,can you help me contact somebody?,Warranty
18507,what do I have to do to earn some items?,Order
18508,where can I list your accepted payment modalities?,Order
18509,I am experiencing registration issues,Login and Account
18510,I don't know how to track my reimbursement,Cancellations and returns
18511,wanna ask for rebates,Cancellations and returns
18512,can i check the withdrawal penalty,Cancellations and returns
18513,supports changing my address,Shipping
18514,where do I see what hours I can reach customer assistance?,Warranty
18515,where to check how long the shipping takes?,Shipping
18516,correct information on freemium account,Login and Account
18517,I do not know what to do to get a compensation,Cancellations and returns
18518,i expect a restitution of {{Refund Amount}} dollafs,Cancellations and returns
18519,I want help to check what hours I can reach customer support,Warranty
18520,checking invoices from {{Person Name}},Shipping
